Date,Unemployment Rate,State,varb,Real Per Capita Personal Income
2019-01-01,3.6,AL,Unemployment Rate,
2019-02-01,3.5,AL,Unemployment Rate,
2019-03-01,3.3,AL,Unemployment Rate,
2019-04-01,3.2,AL,Unemployment Rate,
2019-05-01,3.0,AL,Unemployment Rate,
2019-06-01,2.9,AL,Unemployment Rate,
2019-07-01,2.8,AL,Unemployment Rate,
2019-08-01,2.8,AL,Unemployment Rate,
2019-09-01,2.7,AL,Unemployment Rate,
2019-10-01,2.7,AL,Unemployment Rate,
2019-11-01,2.7,AL,Unemployment Rate,
2019-12-01,2.7,AL,Unemployment Rate,
2020-01-01,2.7,AL,Unemployment Rate,
2020-02-01,2.7,AL,Unemployment Rate,
2020-03-01,3.0,AL,Unemployment Rate,
2020-04-01,13.8,AL,Unemployment Rate,
2020-05-01,9.6,AL,Unemployment Rate,
2020-06-01,7.6,AL,Unemployment Rate,
2020-07-01,7.9,AL,Unemployment Rate,
2020-08-01,5.6,AL,Unemployment Rate,
2020-09-01,6.7,AL,Unemployment Rate,
2020-10-01,5.8,AL,Unemployment Rate,
2014-01-01,,AL,Real Per Capita Personal Income,41697.0
2015-01-01,,AL,Real Per Capita Personal Income,43290.0
2016-01-01,,AL,Real Per Capita Personal Income,43922.0
2017-01-01,,AL,Real Per Capita Personal Income,44545.0
2018-01-01,,AL,Real Per Capita Personal Income,45397.0
2019-01-01,6.1,AK,Unemployment Rate,
2019-02-01,6.1,AK,Unemployment Rate,
2019-03-01,6.1,AK,Unemployment Rate,
2019-04-01,6.1,AK,Unemployment Rate,
2019-05-01,6.2,AK,Unemployment Rate,
2019-06-01,6.2,AK,Unemployment Rate,
2019-07-01,6.2,AK,Unemployment Rate,
2019-08-01,6.2,AK,Unemployment Rate,
2019-09-01,6.2,AK,Unemployment Rate,
2019-10-01,6.1,AK,Unemployment Rate,
2019-11-01,6.1,AK,Unemployment Rate,
2019-12-01,6.1,AK,Unemployment Rate,
2020-01-01,6.0,AK,Unemployment Rate,
2020-02-01,5.8,AK,Unemployment Rate,
2020-03-01,5.2,AK,Unemployment Rate,
2020-04-01,13.5,AK,Unemployment Rate,
2020-05-01,12.7,AK,Unemployment Rate,
2020-06-01,12.4,AK,Unemployment Rate,
2020-07-01,11.6,AK,Unemployment Rate,
2020-08-01,7.4,AK,Unemployment Rate,
2020-09-01,7.2,AK,Unemployment Rate,
2020-10-01,5.9,AK,Unemployment Rate,
2014-01-01,,AK,Real Per Capita Personal Income,51144.0
2015-01-01,,AK,Real Per Capita Personal Income,53048.0
2016-01-01,,AK,Real Per Capita Personal Income,51069.0
2017-01-01,,AK,Real Per Capita Personal Income,51243.0
2018-01-01,,AK,Real Per Capita Personal Income,52816.0
2019-01-01,4.9,AZ,Unemployment Rate,
2019-02-01,4.9,AZ,Unemployment Rate,
